jaar,maand,provincie,nuts3,esbl,mrpa,mrsa,facre,vre,cre,fara,cpa,cpe,ca
2015,1,Groningen,Delfzijl en omgeving,10,1,4,0,1,0,0,0,0,0
2015,1,Groningen,Oost-Groningen,7,1,4,0,1,0,0,0,0,0
2015,1,Groningen,Overig Groningen,11,2,5,0,1,0,0,0,0,0
2015,1,Friesland,Noord-Friesland,7,1,5,0,1,0,0,0,0,0
2015,1,Friesland,Zuidoost-Friesland,10,0,3,0,1,0,0,0,1,0
2015,1,Friesland,Zuidwest-Friesland,8,1,4,0,1,0,0,0,0,0
2015,1,Drenthe,Noord-Drenthe,8,0,0,0,0,0,0,0,0,0
2015,1,Drenthe,Zuidoost-Drenthe,9,1,1,0,1,0,0,0,0,0
2015,1,Drenthe,Zuidwest-Drenthe,7,1,3,0,1,0,0,0,0,0
2015,2,Groningen,Delfzijl en omgeving,11,2,4,0,0,0,0,0,0,0
2015,2,Groningen,Oost-Groningen,9,2,4,0,1,0,0,0,0,0
2015,2,Groningen,Overig Groningen,8,2,5,0,1,0,0,0,1,0
2015,2,Friesland,Noord-Friesland,12,1,2,0,0,0,0,0,1,0
2015,2,Friesland,Zuidoost-Friesland,6,1,4,0,0,0,0,0,0,0
2015,2,Friesland,Zuidwest-Friesland,10,2,4,0,0,0,0,0,0,0
2015,2,Drenthe,Noord-Drenthe,6,1,2,0,0,0,0,0,0,0
2015,2,Drenthe,Zuidoost-Drenthe,6,1,1,0,0,0,0,0,0,0
2015,2,Drenthe,Zuidwest-Drenthe,8,1,3,0,1,0,0,0,0,0
2015,3,Groningen,Delfzijl en omgeving,13,2,4,0,0,0,0,0,1,0
2015,3,Groningen,Oost-Groningen,11,2,4,0,1,0,0,0,0,0
2015,3,Groningen,Overig Groningen,14,1,3,0,0,0,0,0,0,0
2015,3,Friesland,Noord-Friesland,12,2,4,0,0,0,0,0,0,0
2015,3,Friesland,Zuidoost-Friesland,10,1,3,0,1,0,0,0,1,0
2015,3,Friesland,Zuidwest-Friesland,7,1,5,0,0,0,0,0,0,0
2015,3,Drenthe,Noord-Drenthe,7,0,3,0,0,0,0,0,0,0
2015,3,Drenthe,Zuidoost-Drenthe,7,2,3,0,1,0,0,0,0,0
2015,3,Drenthe,Zuidwest-Drenthe,7,1,4,0,0,0,0,0,0,0
2015,4,Groningen,Delfzijl en omgeving,12,2,5,0,1,0,0,0,0,0
2015,4,Groningen,Oost-Groningen,8,1,4,0,1,0,0,0,0,0
2015,4,Groningen,Overig Groningen,11,1,4,0,1,0,0,0,1,0
2015,4,Friesland,Noord-Friesland,12,1,2,0,1,0,0,0,0,0
2015,4,Friesland,Zuidoost-Friesland,10,1,4,0,1,0,0,0,0,0
2015,4,Friesland,Zuidwest-Friesland,11,1,4,0,1,0,0,0,0,0
2015,4,Drenthe,Noord-Drenthe,7,1,4,0,0,0,0,0,0,0
2015,4,Drenthe,Zuidoost-Drenthe,10,1,1,0,1,0,0,0,0,0
2015,4,Drenthe,Zuidwest-Drenthe,6,1,3,0,0,0,0,0,0,0
